imdb_id,budget,revenue,certification,original_language,release_date,popularity,vote_average,vote_count
tt10247678,0.0,0.0,,en,2021-12-31,4.296,6.7,3.0
tt10254960,0.0,0.0,R,en,2022-05-13,2.159,3.3,3.0
tt10260844,0.0,0.0,NR,en,2021-06-11,363.855,6.3,51.0
tt10262112,0.0,0.0,,en,2021-10-08,0.6,0.0,0.0
tt10262380,3000000.0,0.0,,en,2021-08-06,3.184,5.5,16.0
tt10262648,2412000.0,0.0,R,fi,2021-10-29,14.322,7.2,139.0
tt10265034,0.0,2375190.0,PG-13,en,2021-02-12,17.71,6.8,157.0
tt10268316,0.0,0.0,,en,2021-03-02,0.6,0.0,0.0
tt10268488,2800000.0,0.0,R,en,2022-09-30,86.546,7.784,403.0
tt10270416,0.0,0.0,,en,2022-04-05,3.723,3.1,7.0
tt10275546,0.0,0.0,,ta,2021-02-28,1.495,6.3,3.0
tt10279362,0.0,0.0,R,en,2021-02-12,18.378,5.8,81.0
tt10280296,0.0,0.0,R,hi,2021-10-16,4.27,7.2,29.0
tt10283270,0.0,0.0,,cn,2022-07-08,3.914,6.2,20.0
tt10283902,0.0,0.0,,en,2021-05-28,4.106,4.3,5.0
tt10285752,0.0,0.0,,ml,2023-01-06,4.577,0.0,0.0
tt10287908,0.0,0.0,,en,2021-08-24,1.495,3.7,3.0
tt10290116,0.0,0.0,,kn,2022-08-12,0.97,0.0,0.0
tt10290244,0.0,0.0,,fr,2022-10-12,5.749,7.8,27.0
tt10290352,0.0,0.0,,it,2021-05-20,6.737,6.2,95.0
tt10290510,0.0,0.0,R,es,2021-06-24,48.298,6.0,40.0
tt10293406,0.0,0.0,R,en,2021-11-17,70.741,6.8,1751.0
tt10295212,0.0,0.0,,hi,2021-08-12,5.346,7.1,43.0
tt10295314,2000000.0,0.0,R,en,2022-03-17,4.873,4.688,16.0
tt10295430,0.0,0.0,,ta,2021-04-14,1.103,4.7,3.0
tt10298810,200000000.0,226400000.0,PG,en,2022-06-15,167.863,7.171,2510.0
tt10298840,180000000.0,60624900.0,PG,en,2022-11-23,1340.13,6.486,480.0
tt10298870,0.0,0.0,,en,2021-03-13,2.674,6.0,3.0
tt10299902,0.0,0.0,,en,2021-08-10,12.935,6.5,10.0
tt10300450,0.0,0.0,,ta,2021-09-09,1.979,5.0,1.0
tt10300570,0.0,0.0,,ta,2022-02-11,1.517,8.0,1.0
tt10304142,80000000.0,24211200.0,R,en,2022-09-27,95.029,6.172,637.0
tt10306450,0.0,0.0,,en,2021-12-28,6.424,6.8,85.0
tt10306516,0.0,0.0,NR,en,2021-05-07,2.927,6.8,2.0
tt10307724,0.0,0.0,NR,fr,2021-04-02,15.567,5.8,166.0
tt10308502,0.0,0.0,,en,2021-11-26,3.18,7.0,4.0
tt10308878,0.0,0.0,NR,en,2022-02-25,13.328,5.3,28.0
tt10309902,0.0,0.0,,hi,2021-08-27,2.751,7.0,10.0
tt10310074,0.0,0.0,,en,2022-04-01,3.461,4.0,1.0
tt10311018,0.0,0.0,,tr,2021-08-20,1.427,7.8,6.0
tt10313806,0.0,0.0,,en,2021-05-05,1.869,4.8,5.0
tt10314040,0.0,0.0,R,en,2022-04-22,5.786,5.0,16.0
tt10314548,0.0,0.0,PG-13,en,2021-09-16,4.695,6.0,4.0
tt10315050,15000000.0,0.0,,it,2022-10-28,3.054,6.176,17.0
tt10323428,0.0,0.0,,en,2023-01-07,1.068,6.0,2.0
tt10323676,0.0,2122290.0,R,en,2022-03-10,113.691,6.466,617.0
tt10327252,18000000.0,76994200.0,R,en,2021-06-30,198.075,7.2,1742.0
tt10329614,0.0,314785.0,NR,en,2021-06-11,16.734,6.0,175.0
tt10332588,0.0,0.0,PG,en,2021-01-29,54.758,6.5,303.0
tt10333426,0.0,0.0,R,en,2021-02-05,26.531,5.5,468.0
