Date,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude 
2/3/1996 22:44,walla walla airport,wa,,,240,4 min.,Air traffic controller reports a pale yellow light&#44 that looked &quot;square&quot; in his binoculars&#44 pass from SE to directly overhead.,11/2/1999,46.094722,-118.287778
2/4/1996 13:30,marblemount,wa,us,,300,5 min.,Woman &amp; man witness peculiar aircraft &quot;w/ disc above it.&quot;  Suddenly&#44 disc separates from the a/c&#44 flies ahead of it&#33 Very slow flt.(??),11/2/1999,48.5277778,-121.4483333
2/8/1996 00:15,redding,ca,us,,900,15 min.,Man seess obj. shaped like &quot;upside-down ice cream cone&quot; pass slowly overhead.  Yellow&#44 w/ 3 lights on bottom.  Shot flames down.,11/2/1999,40.5866667,-122.3905556
2/8/1996 05:12,recife (brazil),,,oval,2,2 seconds,An oval flying objet crosses the sky in a high speed and in  a straigh line way.,3/2/2004,-8.047546,-34.876962
2/8/1996 07:11,st. joseph,mo,us,sphere,5,5 sec.,Young nurse sees bizarre white&#44 illuminated sphere hovering above treeline to west of hospital.  Obj. suddenly turns green&#44 disappears.,11/2/1999,39.7686111,-94.8463889
2/9/1996 10:00,danville,va,us,disk,180,3 min,Beautiful gold colored disk up close,2/14/2010,36.5858333,-79.3952778
2/9/1996 17:50,langley,wa,us,cylinder,300,5 min.,Five witnesses observe long&#44 slender&#44 tubular obj. w/ pointed nose moving N to S in W sky. Descends&#44 disappears behind Olympic Mtns.,11/2/1999,48.0402778,-122.405
2/9/1996 18:30,redmond,wa,us,,90,90 sec.,Man repts. 4-6 tiny objs. w/ very bright strobing lights fly S to N in W sky.  &quot;Wobbled&#44 weaved vert.&quot; in flt.  4 min. later&#44 N to S&#33,11/2/1999,47.6741667,-122.1202778
2/9/1996 18:45,whidbey island,wa,,,300,5 min.,Five adults witness in W sky an elongate obj. w/ flashing lights moving N to S&#44 like 3 &quot;diamonds in row.&quot; Length 4-7x dia. of moon&#33,11/2/1999,47.998276,-122.439503
2/9/1996 18:45,seattle,wa,us,,300,5 min.,Young man w/ neighbor witness bizarre multiple flashing lights in straight line over E horiz.. Obj. hovered&#44 moved&#44 then streaked off.,11/2/1999,47.6063889,-122.3308333
2/9/1996 19:30,charleston,or,us,,120,2 min.,Man sees bizarre formation of craft fly over Charleston Harbor&#44 all simultaneously turn to SE. 2 types of objects.  Loud noise.,11/2/1999,43.3402778,-124.3288889
2/9/1996 19:45,eureka,ca,us,,240,4 min.,Woman and neighbor witness bizarre formation of up to ten objs. overhead w/ white flashing lights.  Objs. maneuvered; 1/3 of sky.,11/2/1999,40.8022222,-124.1625
2/9/1996 21:40,hollywood,fl,us,,360,6 min.,Man sees a &quot;star&quot; overhead begin to move from W to E&#44 fly w/ oscillating movement&#44 &quot;from side to side&#44&quot; fade from sight. 2nd observer.,11/2/1999,26.0108333,-80.1497222
2/10/1996 11:00,alice springs  (nt&#44 australia),,au,other,5,5 seconds,A humanoid dwarf/troll/grey alien type thing walked up the steps of a pasta restataunt I was in and stared at me.,11/17/1999,-23.697479,133.883621
2/10/1996 17:00,mount shasta,ca,us,fireball,10,10 seconds,Driving on the road which ascends Mt. Shasta&#44 first mile in. Object seen above and to front of car.,11/19/1998,41.3100000,-122.3094444
2/11/1996 14:00,big cypress parks,fl,,circle,30,30 seconds,BIG CYPRESS SWAMP CIRCULAR CRAFT BEING CHASED BY AIR FORCE,3/19/2002,27.664827,-81.515754
2/13/1996 18:30,sweet home,or,us,,2400,40 min.,Caller reported that they had &quot;spotted a UFO&quot; in Sweet Home.  It had red&#44 blue&#44 yellow&#44 and green colors&#44,8/5/2001,44.3977778,-122.735
2/14/1996 18:30,parkers prairie,mn,us,circle,1200,20 minutes,UFO chases car 8 miles. 4 witnesses. Several sightings afterward. 500 Lights On Object0: Yes,2/14/2010,46.1530556,-95.3286111
2/14/1996 20:00,new gretna,nj,us,changing,300,5 minutes,Spherical white lights in a moving semi circular pattern.,1/10/2014,39.5922222,-74.4513889
2/14/1996 21:30,miltona,mn,us,circle,1200,20minutes,Circular object follows car&#44 4 witnesses.,9/21/2000,46.0441667,-95.2911111
2/15/1996 16:00,camden,sc,us,other,300,5 minutes,The  largest fastest moving object that I have ever seen and never heard.,12/16/2005,34.2463889,-80.6072222
2/15/1996 19:30,glasgow (uk/scotland),,gb,circle,600,10minuites,FEB 1996 SHAPE ROUND COLOUR BLACK SIGHTED CALDERBANK SCOTLAND,5/15/2006,55.833333,-4.25
2/15/1996 23:00,st. albert (canada),on,ca,circle,30,30 secs,A bright white object moving slowly across the sky split into 4 other craft 3 of which surrounded the white one in the middle to form a,1/29/2002,53.633333,-113.633333
2/16/1996 04:10,cashmere,wa,us,,5,5 sec.,Woman sees round&#44 orange &quot;globe&quot; of light flying to W.  Wakes husband&#44 who sees obj. briefly.  Obj. flew up valley&#44 disappeared.,11/2/1999,47.5225000,-120.4686111
2/16/1996 21:45,ithaca,ny,us,,180,3 min.,Woman &amp; husband (pilot) see  very large&#44 illuminated obj.&#44 shaped like &quot;upside down cage on a blimp&#44&quot; pass overhead.  Good rept..,11/2/1999,42.4405556,-76.4969444
2/17/1996 19:30,cactus flats,ca,,,300,5 min.,3 men on motorcycles witness 6 large&#44 bright objs. hovering in the sky&#44 1 on the ground.  Objs. illuminate area dramatically&#44 fade out.,11/2/1999,36.215074,-117.929617
2/18/1996 19:45,gainesville,fl,us,diamond,300,5 min.,Man&#44 wife&#44 and 6-yr. old daughter witness &quot;huge&#44 diamond-shaped&quot; obj. SE of city.  Obj. had &quot;massive floodlights&#44&quot; passed overhead.,11/2/1999,29.6513889,-82.325
2/19/1996 20:45,vero beach,fl,us,,2100,35 min.,Young man &amp; woman witness peculiar bright yellow light&#44 w/ &quot;green streaks&#44&quot; in W sky. Moves&#44 turns red.  3rd observer 10 mi. away.,11/2/1999,27.6383333,-80.3975
2/19/1996 22:44,whidbey island,wa,,,10,10 sec.,Three adults see triangular shaped obj.&#44 w/ 4 very bright white lights&#44 streak to the E. Emphasized brightness of light&#44 humming sound.,11/2/1999,47.998276,-122.439503
2/20/1996 01:00,benicia,ca,us,changing,300,5 minutes,it was real close&#44didn&#39t make a sound&#44 didn&#39t stir the air&#44it actually was beautiful&#44a soft red glow all around&#44was changing shape.,11/11/2003,38.0494444,-122.1575
2/21/1996 21:05,north vancouver (canada),bc,ca,sphere,120,2 minutes,softly illuminated sphere about 15 feet in diameter traversed sky overhead at 1&#44800 feet altitude--no detectable sound.,12/2/2000,49.316667,-123.066667
2/23/1996 12:40,poway,ca,us,light,660,11 minutes,Saw 2 points of light moving slowly across sky then after 11 minutes&#44 1 of them streaked off towards the east and was gone in 10-12 sec,4/2/1999,32.9627778,-117.035
2/23/1996 20:15,los angeles,ca,us,triangle,120,1-2 minutes,At 20:15 Pacific time on 2/23/96&#44 while out on balconywith telescope&#44 looked west&#44 south west&#44and saw 3 triangularshaped objects with a,3/7/1998,34.0522222,-118.2427778
2/23/1996 21:29,madison,tn,us,,60,1 min.,Several children witness a &quot;small silver disc w/ a white light on top.&quot; Streaks off.   Mother separates them &amp; they draw same obj..,11/2/1999,36.2561111,-86.7138889
2/23/1996 22:30,prineville,or,us,,120,2 min.,Man&#44 2 other adults&#44 witness large&#44 rectangular obj. w/ &quot;curious&quot; red&#44 blue&#44 green &quot;blended colors&quot; on bottom pass overhead.,11/2/1999,44.3000000,-120.8333333
2/24/1996 03:15,edwards afb,ca,,,120,2 min.,Controller at Edwards AFB reports receiving two calls from local law enforcement re orange fireball. Radar neg.  (Missle launch??),11/2/1999,34.924031,-117.891208
2/24/1996 03:20,tehachapi mtns.,ca,,light,180,3 min.,Couple see very bright&#44 orange/red obj. approach from W&#44 turn 90 deg.&#44 go S.  Large&#44 comet-like tail. (Missle from Vandenberg AFB).,11/2/1999,35.027425,-118.825442
2/24/1996 03:27,glendora,ca,us,,120,2 min.,Several police officers observe large red ball of light move S&#44 then E&#44 then S&#44 disappear from sight. (Missle launch from Vandenberg.),11/2/1999,34.1361111,-117.8644444
2/25/1996 02:30,doylestown,pa,us,,180,3 min.,Driving on Rte. 313&#44 man sees 3 bright &quot;meteorites.&quot;  Eng. &amp; lights fail&#44 van stops abruptly.  Paralyzed&#44 feels something &quot;scan&quot; mind.,11/2/1999,40.3100000,-75.1302778
2/26/1996 22:00,ft. mcpherson (canada),nt,,light,900,15 minutes,unknown moving light.,3/11/2006,67.436445,-134.880755
2/27/1996 21:30,detroit,mi,us,light,1200,20 min,I was a commuter airline pilot at the time (co-pilot).  We were flying from Pittsburg&#44 PA to Saginaw&#44 michigan at an altitude of 16&#44000,9/28/2002,42.3313889,-83.0458333
2/27/1996 22:00,cleveland artcc,oh,,,600,10 min.,FAA controller calls to recount event of commuter airliner near Saginaw&#44 MI.  Says pilot reported pulsing ball of light ahead of a/c.,11/2/1999,40.417287,-82.907123
2/27/1996 22:01,saginaw,mi,us,light,480,8 min.,Commuter airliner w/ passengers turns&#44 descends 12&#44500&#39 to avoid a bizarre&#44 extremely bright obj. directly ahead.  Obj. could &quot;jump.&quot;,11/2/1999,43.4194444,-83.9508333
2/27/1996 22:01,saginaw,mi,us,,1440,24 min.,,3/2/2004,43.4194444,-83.9508333
2/28/1996 07:10,newcastle,wa,us,,120,2 min.,Man &amp; wife witness four small&#44 metallic-looking objs.&#44 reflecting bright sunlight&#44 go streaking N to S.  First 2x&#44 then a 3rd&#44 &amp; 4th.,11/2/1999,47.5391667,-122.1544444
2/28/1996 19:45,tri-cities,wa,,,30,30 sec.,Businessman driving to W sees pulsating bluish-white light ahead of his car moving from N to S.  Very bright&#44 strobing light.,11/2/1999,46.235,-119.223301
2/28/1996 19:48,bothell,wa,us,,2,2 sec.,Man repts. seeing a large&#44 extremely bright &quot;red&#44 blue&#44 and whitish&quot; obj. streaking from S to NW.  Former pilot&#44 estimates Mach 3+.,11/2/1999,47.7625000,-122.2041667
2/28/1996 19:50,lynnwood,wa,us,,3,3 sec.,Man driving to west witnesses a very bright&#44 white ball of light streak from S to N directly ahead of him 20 deg. above horizon.,11/2/1999,47.8211111,-122.3138889
2/28/1996 19:50,redmond,wa,us,,4,4 sec.,2 adults see an extremely bright&#44 round&#44 &quot;neon green/white&quot; ball of light streak from S to NE in horiz. flt.  Extremely bright &amp; fast.,11/2/1999,47.6741667,-122.1202778
2/28/1996 21:00,la crosse,wi,us,light,120,2 minutes,I was in a building downtown on the third floor&#44 I looked out the back door towards my home (about 7 blocks away) to the east and I saw,2/16/2000,43.8013889,-91.2394444
2/29/1996 01:15,cedar springs,mi,us,,900,15 min.,Couple experience 2nd sighting of three lights over their rural home.  Objects flashed red&#44 green&#44 white; distinct movement.,11/2/1999,43.2233333,-85.5513889
2/29/1996 19:45,redmond,wa,us,,35,35 sec.,Mother&#44 2 young women witness an intensely bright&#44 bluish-white&#44 flashing light to the E.  Obj. moved&#44 became orange&#44 pink.,11/2/1999,47.6741667,-122.1202778
3/1/1996 08:00,norman,ok,us,light,1800,20-30min.,it was a very bright light. the 1st big light stayed in one spot for about 20 min. the other light would come out of the big light. the,10/30/2006,35.2225000,-97.4391667
3/1/1996 19:00,byron,ny,us,formation,10800,3 hours,I had a 3 hour lost time experience&#44 on my front porch one night.,1/29/2002,43.0797222,-78.0641667
3/1/1996 19:08,issaquah,wa,us,,120,2 min.,Couple witness bizarre object circle overhead&#44 fly to the W at slow speed.  Red light in center&#44 white flashing on nose&#44 blue behind.,11/2/1999,47.5302778,-122.0313889
3/1/1996 19:30,seattle,wa,us,,10,10 sec.,Woman walking dog&#44 witnesses a large&#44 oblong obj.&#44 very bright yellow-orange&#44 streak overhead at &quot;incredible speed.&quot;,11/2/1999,47.6063889,-122.3308333
3/1/1996 19:55,redmond,wa,us,,60,1 minute,Four young people see bright orange &quot;fire in the sky&quot; pass slowly overhead&#44 fly W.  Possibly 4 tiny lights on each corner. Bizarre&#33,11/2/1999,47.6741667,-122.1202778
3/1/1996 19:58,bothell,wa,us,,600,10 min.,Experienced UFO investigators witness elliptical obj. w/ red light in middle&#44 white &amp; blue lights on ends.  Chase in car for 10 min..,11/2/1999,47.7625000,-122.2041667
3/1/1996 21:30,seatac,wa,us,,900,15 min.,Man reports seeing bright light 20 deg. above W horizon.  Red&#44 white&#44 green&#44 blue.  (Probably Venus.),11/2/1999,47.4538889,-122.3205556
3/1/1996 22:15,bath,il,us,,60,1 minute,Woman&#44 children&#44 neighbors witness &quot;big orange ball of light.&quot;  Obj. dims&#44 then reappears w/ red blinking light.  Moves off fast.,11/2/1999,40.1933333,-90.1408333
3/2/1996 00:30,mountain village,ak,us,,3600,60 min.,Woman repts. stationary light &quot;w/ search light going around in circles.&quot;  Red&#44 blue&#44 white in middle.  (Possible twinkling star?),11/2/1999,62.0855556,-163.7294444
3/5/1996 19:45,whidbey island,wa,,light,120,2 min.,Two women witness 3 &quot;huge&#44 bright golden lights&quot; hovering above water to NW of home. Objs. dimmed in sequence&#44 disappeared.,11/2/1999,47.998276,-122.439503
3/6/1996 18:05,lakeside,ca,us,light,1200,20 min.,I CALL THIS &quot;BIG RED&#39   APROX 100 ft .accross---NO sound--HOVERED barely above tree tops.,3/19/2002,32.8572222,-116.9213889
3/6/1996 19:00,frankfort,il,,other,600,10 min.,Object was 50 ft. across the bottom&#44 dome on the top&#44red&#44green&#44 and blue lights on the sides around&#44150 approx. off the ground.,1/28/1999,41.495867,-87.848661
3/7/1996 00:25,coral gables,fl,us,,2700,45 min.,Young man and woman report witnessing an obj. in the W sky&#44 that was moving &amp; flashing red&#44 blue&#44 and white.  Moved suddenly.,11/2/1999,25.7211111,-80.2686111
3/7/1996 20:55,henderson,nv,us,,120,2 min.,Man &amp; wife witness odd obj. w/ red and orange flashing lights fly very low over their house from the SE. Reversed direction&#44 flew off.,11/2/1999,36.0397222,-114.9811111
3/8/1996 01:00,llano,ca,us,oval,300,5 min,This huge craft made no sound at all as it moved.,8/5/2001,38.4119444,-122.7933333
3/9/1996 01:15,boise,id,us,,90,90 sec.,Two young men in public park witness &quot;meteor&#44&quot; then realize there are multiple tiny V-shaped objs. overhead. Objs. form wedges.,11/2/1999,43.6136111,-116.2025
3/9/1996 21:05,morristown,nj,us,other,2,seconds,Orange Glowing Dot Between Orion and Canis Major Constellations.,1/30/2014,40.7966667,-74.4819444
3/11/1996 15:33,salisbury&#44 wilts. (uk/england),,,disk,180,3 mins,UFO was sighted to side of lane . I stopped car and got out to communicate with craft - which flew off at very high speed .,4/1/2000,51.068785,-1.794472
3/12/1996 17:30,clacton-on-sea (uk/england),,gb,triangle,60,1min,Black triangle 1996 Essex England,10/12/2001,51.783333,1.166667
3/13/1996 23:05,pink hill,nc,us,,240,4 min.,Man walks onto porch&#44 notes very bright light in sky with&quot;4 small lights on one end&#44 giving off sparks on other.&quot;  Suddenly moves off.,11/2/1999,35.0550000,-77.7466667
3/14/1996 10:00,shafter,ca,us,unknown,600,10 minutes,Object goes through shinihg hole&#33  ((NUFORC Note:  Possible hoax??  PD)),11/8/2005,35.5005556,-119.2708333
3/15/1996 01:00,spokane,wa,us,flash,120,2 minutes,Falling star turns into flash&#44 then flash goes away&#44 then in a total different direction what looked like a satellite goes out of site&#44,7/3/2013,47.6588889,-117.425
3/15/1996 01:30,cotati,ca,us,sphere,120,approx. 2 minutes,Small&#44 clear orb that floated up the hood of our car and up the window without changing shape or being affected by engine heat.,1/31/2011,38.3269444,-122.7061111
3/15/1996 03:00,san felipe (driving south to) (mexico),,,diamond,900,15 min.,While traveling to San Felipe for a fishing trip Three Immigration Inspectors and myself a Customs Inspector spotted a &quot;diamond&quot; to the,11/20/2002,10.340556,-68.736944
3/15/1996 13:00,wethersfield,ct,us,disk,50,50 seconds,Two F-15&#39s or F-16&#39s&#44 couldn&#39t tell the engine set-up&#44 followed a silver object over Wethersfield from South to North (toward Hartford),8/30/1999,41.7141667,-72.6530556
3/15/1996 18:00,houston,tx,us,changing,900,15 min,I WAS WALKING OUT MY BACK DOOR AND LOOKED UP AND SAW A SHAPE MOVING FROM SOUTH TO NORTH ABOUT AS FAST AS A SMALL PLANE&#44 IT WAS CHANGING,1/3/2001,29.7630556,-95.3630556
3/15/1996 18:35,evansville,in,us,,300,5 min,Two men in car see 2 bright orange lights in N sky&#44 which move&#44 then extinguish.  Reappear in NW sky&#44 split into 5 objs.&#44 disappear.,11/2/1999,37.9747222,-87.5558333
3/15/1996 23:59,sewickly,pa,,dome,2,2 sec.,Psychologist&#44 husband&#44 son witness a dome-like obj.&#44 w/ transparent &quot;window&#44&quot; hover in their yard.  Human-like outline in window&#33&#33,2/18/2001,40.536485,-80.184424
3/16/1996 22:00,guatamala,,,light,120,2min,Sharp 90 degree turns from what appeared to be a satelite,12/2/2000,15.783471,-90.230759
3/19/1996 20:30,texas highway 54 heading into nm - after crossing i-10,tx,,other,180,2-3 minutes,Typo in fist report...1996...First saw bright non-stationary object in the sky&#44 then felt the head from this &quot;hot star&quot; on the left sid,7/14/1999,40.147952,-88.968399
3/19/1996 20:30,st. petersburg,fl,us,,1200,20 min.,Five adults witness bright object in W sky&#44 45 deg. above horizon.  When aircraft flew by it&#44 obj. streaked to S&#44 then returned.,11/2/1999,27.7705556,-82.6794444
3/20/1996 19:00,apalachin,ny,us,disk,240,4 min,Small disk flyes over school in Apalachin&#44 NY,8/10/1999,42.0694444,-76.155
3/20/1996 21:00,seattle,wa,us,,300,5 min.,Young woman &amp; 2 friends witness 3 lights overhead&#44 arranged in a triangular pattern.  Suddenly&#44 a 4th light appears.  Not aircraft.,11/2/1999,47.6063889,-122.3308333
3/21/1996 21:00,three rivers,mi,us,light,900,10-15 minuets,Wihte light UFO 19,12/3/2004,41.9438889,-85.6325
3/21/1996 23:59,three rivers,mi,us,triangle,600,5 to 10 minuets,Back in March 21&#4496 whil photographing the night sky whth my Sears VHS Camcordor&#44 I filmed what I thin might be a black triangle. I,10/27/2004,41.9438889,-85.6325
